Datetime,Action,Close,Position,Note
2025-08-19 15:01:00+00:00,BUY,3367.10009765625,13.0,Open
2025-08-19 15:23:00+00:00,SELL,3369.5,0.0,Flip close (no DD)
2025-08-19 15:23:00+00:00,SELL,3369.5,-13.0,Flip open
2025-08-19 15:43:00+00:00,BUY,3366.60009765625,0.0,Flip close (no DD)
2025-08-19 15:43:00+00:00,BUY,3366.60009765625,13.0,Flip open
2025-08-19 16:05:00+00:00,SELL,3367.89990234375,0.0,Flip close (no DD)
2025-08-19 16:05:00+00:00,SELL,3367.89990234375,-13.0,Flip open
2025-08-19 16:09:00+00:00,BUY,3365.800048828125,0.0,Flip close (no DD)
2025-08-19 16:09:00+00:00,BUY,3365.800048828125,13.0,Flip open
2025-08-19 17:00:00+00:00,SELL,3361.5,0.0,Session close
